dataset,family,n_injected,recovered,recall
D1,A1_sign_flip,500,500,1.0
D1,A2_magnitude_outlier,500,77,0.154
D1,A3_tag_mismatch,496,16,0.03225806451612903
D1,A4_period_violation,500,500,1.0
D1,A5_duplicate_posting,500,500,1.0
D2,B1_ot_regular_inconsistency,2000,1848,0.924
D2,B2_salary_basis_mismatch,2000,1956,0.978
D2,B3_near_duplicate_name,2000,171,0.0855
D2,B4_agency_title_violation,2000,1011,0.5055
D2,B5_magnitude_outlier,2000,1209,0.6045
D3,C1_education_out_of_domain,300,300,1.0
D3,C2_limitbal_inconsistency,300,300,1.0
D3,C3_bill_sign_violation,300,64,0.21333333333333335
D3,C4_pay_temporal_violation,300,31,0.10333333333333333
D3,C5_age_range_violation,300,300,1.0
