auc_pr,best_threshold,precision,recall,f1,balanced_acc,fpr_at_best_f1,dataset,detector
0.2588488100795358,0.6,0.3796181502603521,0.6133814102564102,0.468984530555981,0.7806303768222307,0.05212065661194901,D1,rule
0.1726597872256017,0.5197004083702088,0.21946325558063706,0.7011217948717948,0.3342884431709647,0.7857329664301479,0.12965586201149903,D1,stat
0.23175313497389965,0.6062179355516563,0.3463260468791151,0.5268429487179487,0.41792467821388846,0.7375694620266686,0.051704024664611284,D1,iforest
0.11646899384480755,7.568068058423684e-11,0.22075869336143308,0.16786858974358973,0.19071461083295402,0.5685293286189825,0.03080993250562453,D1,lof
0.17479739002952252,0.5744806095528816,0.22778717314947314,0.7015224358974359,0.34390651085141904,0.7889330369638,0.12365636196983584,D1,hybrid
0.2603518254814326,0.763601470985671,0.3433189655172414,0.6382211538461539,0.4464686098654709,0.7873736383346259,0.06347387717690192,D1,hybrid_lr
0.1511883397175775,0.6,0.2581518908219606,0.4956,0.33947530652784436,0.7107114583333334,0.07417708333333334,D2,rule
0.1912835849251647,0.5533057321141766,0.23721994319974757,0.6014,0.34023534736365696,0.750340625,0.10071875,D2,stat
0.2137710577592693,0.497589898301619,0.2753288956444258,0.5253,0.3612916537707624,0.7266447916666667,0.07201041666666666,D2,iforest
0.07786416132325237,1.5135481117447663e-15,0.078609051648818,0.3149,0.12581154237999162,0.5613302083333334,0.19223958333333332,D2,lof
0.1949164300615613,0.5998535243195537,0.2523084208034094,0.6394,0.3618357761303831,0.77035625,0.0986875,D2,hybrid
0.2337225374832604,0.6834858325946207,0.2683560753736192,0.6195,0.374489950128457,0.765765625,0.08796875,D2,hybrid_lr
0.5941081715825103,0.7,0.5353319057815846,1.0,0.697350069735007,0.9771578947368421,0.04568421052631579,D3,rule
0.3325871600187965,1.0,0.3929159802306425,0.636,0.48574338085539714,0.7921403508771929,0.05171929824561403,D3,stat
0.6401129722113231,0.43146917854867484,0.46122448979591835,0.904,0.6108108108108108,0.9242105263157895,0.055578947368421054,D3,iforest
0.10995684679249651,0.05559764027697445,0.17911153119092627,0.25266666666666665,0.20962389380530974,0.595859649122807,0.06094736842105263,D3,lof
0.3570813199546525,1.0,0.3929159802306425,0.636,0.48574338085539714,0.7921403508771929,0.05171929824561403,D3,hybrid
0.8903746569994342,0.9641108309098995,0.9594985535197685,0.6633333333333333,0.7843910130074891,0.8309298245614035,0.0014736842105263158,D3,hybrid_lr
