seed,dataset,detector,f1_oracle,f1_nested,auc_pr,precision,recall,best_threshold
50,D1,hybrid_lr,0.4383,0.4374,0.259,0.3347,0.6351,0.7584
50,D1,hybrid_fixed,0.345,0.3448,0.1756,0.2286,0.7031,0.576
50,D2,hybrid_xgb,0.5302,0.5289,0.4844,0.5359,0.5246,0.869
50,D2,hybrid_lr,0.371,0.3709,0.2366,0.2655,0.6156,0.688
50,D2,hybrid_fixed,0.3597,0.3597,0.1958,0.2503,0.6389,0.6
50,D3,hybrid_xgb,0.8017,0.7993,0.9125,0.9227,0.7087,0.9449
50,D3,hybrid_lr,0.7799,0.7728,0.887,0.9356,0.6687,0.9544
50,D3,hybrid_fixed,0.4815,0.4816,0.354,0.3895,0.6307,1.0
51,D1,hybrid_xgb,0.6239,0.6226,0.6168,0.6351,0.613,0.8819
51,D1,hybrid_lr,0.459,0.456,0.2672,0.3598,0.6338,0.7855
51,D1,hybrid_fixed,0.3431,0.3399,0.1747,0.2273,0.6991,0.5742
51,D2,hybrid_xgb,0.5258,0.523,0.4872,0.5411,0.5114,0.8601
51,D2,hybrid_lr,0.3758,0.3752,0.2435,0.2713,0.611,0.6939
51,D2,hybrid_fixed,0.3619,0.3619,0.1966,0.2529,0.636,0.6
51,D3,hybrid_xgb,0.8104,0.8078,0.9158,0.888,0.7453,0.9289
51,D3,hybrid_lr,0.7873,0.7819,0.8921,0.9349,0.68,0.9568
51,D3,hybrid_fixed,0.4825,0.4826,0.3559,0.3907,0.6307,1.0
