dataset,seed,oracle_f1,nested_f1,bias
D1,42,0.5114931427467645,0.5068956459235944,0.004597496823170122
D1,43,0.5386247877758913,0.5377385359909381,0.0008862517849531626
D1,44,0.5386843194042201,0.5374921672122921,0.001192152191928031
D1,45,0.5067153042613165,0.5047150800768083,0.0020002241845081814
D1,46,0.5011650074136835,0.4928535798257544,0.008311427587929132
D1,47,0.49965373961218834,0.49867565528383767,0.0009780843283506702
D1,48,0.5098039215686274,0.5080976634293617,0.0017062581392657261
D1,49,0.5407224590531747,0.5404034550379946,0.00031900401518014654
D1,50,0.5376255895017429,0.5359962078294782,0.0016293816722646737
D1,51,0.5468716172331674,0.5399200661611648,0.006951551072002515
D2,42,0.358992040916013,0.3583587457999562,0.000633295116056809
D2,43,0.3516338431070525,0.35134132978522875,0.0002925133218237286
D2,44,0.3540071770334928,0.35327170840424815,0.0007354686292446733
D2,45,0.34833166260919374,0.34771954920354503,0.0006121134056487065
D2,46,0.35988786356734026,0.3596388829214125,0.0002489806459277655
D2,47,0.35105659819713314,0.35078906547870126,0.0002675327184318843
D2,48,0.346779303062302,0.3454406694300683,0.0013386336322336878
D2,49,0.34591441870899,0.34574928361478297,0.000165135094207014
D2,50,0.3455018834478174,0.34464047092847155,0.00086141251934585
D2,51,0.3618527629447411,0.35994142289058983,0.0019113400541512782
D3,42,0.7171532846715328,0.7171564602171646,-3.175545631783905e-06
D3,43,0.7110036275695284,0.709887542024972,0.0011160855445564444
D3,44,0.7203967761934283,0.7178215419085485,0.0025752342848798238
D3,45,0.7210626185958254,0.7188210024936373,0.002241616102188093
D3,46,0.7178437393381099,0.7158345434684533,0.0020091958696565326
D3,47,0.7189840442852491,0.7186144741571538,0.00036957012809524237
D3,48,0.7332576617480137,0.7238349388902471,0.009422722857766574
D3,49,0.7171031361138054,0.7102461957879862,0.006856940325819183
D3,50,0.7281648675171737,0.7237413364599177,0.004423531057256014
D3,51,0.7082840236686391,0.7045222729960607,0.0037617506725783345
