dataset,family,n_injected,recovered,recall
D1,A1_sign_flip,500,500,1.0
D1,A2_magnitude_outlier,500,38,0.076
D1,A3_tag_mismatch,498,17,0.03413654618473896
D1,A4_period_violation,500,500,1.0
D1,A5_duplicate_posting,500,500,1.0
D2,B1_ot_regular_inconsistency,2000,1913,0.9565
D2,B2_salary_basis_mismatch,2000,1956,0.978
D2,B3_near_duplicate_name,2000,203,0.1015
D2,B4_agency_title_violation,2000,1002,0.501
D2,B5_magnitude_outlier,2000,1210,0.605
D3,C1_education_out_of_domain,300,300,1.0
D3,C2_limitbal_inconsistency,300,300,1.0
D3,C3_bill_sign_violation,300,97,0.3233333333333333
D3,C4_pay_temporal_violation,300,33,0.11
D3,C5_age_range_violation,300,300,1.0
