auc_pr,best_threshold,precision,recall,f1,balanced_acc,fpr_at_best_f1,dataset,detector
0.2593406152277348,0.6,0.3770046878855169,0.6119343211854225,0.4665648854961832,0.7796667210368502,0.05260087911172218,D1,rule
0.17387442227299624,0.52064918649339,0.2203622735790131,0.7064477372847416,0.33593601218815466,0.7882175148728148,0.13001270753911215,D1,stat
0.23840850809342576,0.5889601587806583,0.35712347354138396,0.527032438926712,0.4257521837593012,0.7388406783513422,0.04935108222402766,D1,iforest
0.10309924939902816,7.640543157794836e-11,0.2091346153846154,0.13936724068882658,0.167267483777938,0.5559761437283685,0.027414953232089662,D1,lof
0.17420948532207065,0.5745613805449125,0.22765072765072766,0.7016419703644373,0.3437653291474541,0.7889081880653718,0.12382559423369373,D1,hybrid
0.26045003750499884,0.7803386121339634,0.3487450462351387,0.6343612334801763,0.4500639295354454,0.7863700424009843,0.06162114867820761,D1,hybrid_lr
0.15045688985006217,0.6,0.2565813480686024,0.4922,0.3373196724120207,0.7089619791666667,0.07427604166666667,D2,rule
0.1899635079313099,0.5534230532441428,0.23324523687428503,0.5913,0.3345308477836553,0.7450302083333333,0.10123958333333333,D2,stat
0.20563128747237575,0.4597994521680033,0.25613714285714284,0.5603,0.3515607843137255,0.7377750000000001,0.08475,D2,iforest
0.07599105261713078,2.0130415498331245e-15,0.0781217474053588,0.2627,0.12043000893941826,0.5506208333333333,0.16145833333333334,D2,lof
0.19209732724261258,0.6,0.24982161262189803,0.6302,0.3578038948503946,0.76581875,0.0985625,D2,hybrid
0.22009492890613652,0.6658516138504558,0.25912637156326923,0.6211,0.3656863610939386,0.7643052083333333,0.09248958333333333,D2,hybrid_lr
0.5883163412216044,0.7,0.5334281650071123,1.0,0.6957328385899815,0.9769824561403508,0.04603508771929825,D3,rule
0.3326347298980337,1.0,0.39139344262295084,0.6366666666666667,0.4847715736040609,0.792280701754386,0.05210526315789474,D3,stat
0.6699958149448435,0.3877278539174837,0.4388314059646987,0.9613333333333334,0.6025908900961137,0.9483157894736842,0.06470175438596491,D3,iforest
0.10558443749626417,0.06245577448094416,0.17640633533588204,0.21533333333333332,0.19393575502851995,0.5812105263157895,0.05291228070175438,D3,lof
0.3562890498826839,1.0,0.39139344262295084,0.6366666666666667,0.4847715736040609,0.792280701754386,0.05210526315789474,D3,hybrid
0.8946652818126236,0.9514928121521535,0.9226713532513181,0.7,0.796057619408643,0.8484561403508772,0.003087719298245614,D3,hybrid_lr
