dataset,family,n_injected,recovered,recall
D1,A1_sign_flip,500,500,1.0
D1,A2_magnitude_outlier,500,97,0.194
D1,A3_tag_mismatch,495,25,0.050505050505050504
D1,A4_period_violation,500,494,0.988
D1,A5_duplicate_posting,500,500,1.0
D2,B1_ot_regular_inconsistency,2000,1749,0.8745
D2,B2_salary_basis_mismatch,2000,1922,0.961
D2,B3_near_duplicate_name,2000,174,0.087
D2,B4_agency_title_violation,2000,1015,0.5075
D2,B5_magnitude_outlier,2000,1133,0.5665
D3,C1_education_out_of_domain,300,300,1.0
D3,C2_limitbal_inconsistency,300,300,1.0
D3,C3_bill_sign_violation,300,139,0.4633333333333333
D3,C4_pay_temporal_violation,300,30,0.1
D3,C5_age_range_violation,300,300,1.0
