seed,dataset,meta_learner,f1_nested,f1_oracle,source
48,D2,XGB,0.534,0.534,recovered_from_stdout
48,D2,LGB,0.551,0.552,recovered_from_stdout
48,D3,LR,0.782,0.784,recovered_from_stdout
48,D3,RF,0.799,0.801,recovered_from_stdout
48,D3,GBM,0.797,0.807,recovered_from_stdout
48,D3,MLP,0.794,0.788,recovered_from_stdout
48,D3,XGB,0.804,0.808,recovered_from_stdout
48,D3,LGB,0.794,0.809,recovered_from_stdout
49,D1,LR,0.450,0.450,recovered_from_stdout
49,D1,RF,0.520,0.531,recovered_from_stdout
49,D1,GBM,0.592,0.598,recovered_from_stdout
49,D1,MLP,0.556,0.522,recovered_from_stdout
49,D1,XGB,0.627,0.628,recovered_from_stdout
49,D1,LGB,0.632,0.631,recovered_from_stdout
