src_dialect,tgt_dialect,transpile_rate,ast_equiv_rate,latency_ms_mean
mysql,mysql,1.0,1.0,1.01185
mysql,oracle,1.0,0.85,0.6126
mysql,postgres,1.0,0.75,0.65935
mysql,snowflake,1.0,0.8,0.79405
mysql,tsql,1.0,0.8,1.0919
oracle,mysql,1.0,0.46153846153846156,1.413769230769231
oracle,oracle,1.0,1.0,0.9256153846153846
oracle,postgres,1.0,0.7692307692307693,0.6567692307692308
oracle,snowflake,1.0,1.0,0.8262307692307692
oracle,tsql,1.0,0.5384615384615384,0.7813846153846153
postgres,mysql,0.9818181818181818,0.6727272727272727,0.7412545454545454
postgres,oracle,0.9818181818181818,0.8909090909090909,0.8194909090909092
postgres,postgres,0.9818181818181818,0.9818181818181818,1.0945636363636364
postgres,snowflake,0.9818181818181818,0.8727272727272727,0.9031818181818181
postgres,tsql,0.9818181818181818,0.7090909090909091,0.8355272727272728
snowflake,mysql,1.0,0.6428571428571429,0.7181428571428572
snowflake,oracle,1.0,0.7857142857142857,0.6915714285714286
snowflake,postgres,1.0,0.5714285714285714,0.7907142857142857
snowflake,snowflake,1.0,1.0,1.7197142857142858
snowflake,tsql,1.0,0.6428571428571429,0.7788571428571428
tsql,mysql,1.0,0.6153846153846154,0.6570769230769231
tsql,oracle,1.0,0.6923076923076923,0.6879230769230769
tsql,postgres,1.0,0.6923076923076923,0.672
tsql,snowflake,1.0,0.8461538461538461,0.8657692307692308
tsql,tsql,1.0,0.9230769230769231,1.2627692307692309
