query,src_folder,src_dialect,tgt_dialect,level,complexity,difficulty,parse_ok,transpile_ok,ast_equiv,latency_ms,error
having_clause,postgresql,postgres,mysql,basic,25,easy,True,True,True,0.524,
having_clause,postgresql,postgres,tsql,basic,25,easy,True,True,True,1.213,
having_clause,postgresql,postgres,oracle,basic,25,easy,True,True,True,0.894,
having_clause,postgresql,postgres,snowflake,basic,25,easy,True,True,True,0.899,
basic_delete,postgresql,postgres,postgres,basic,20,easy,True,True,True,0.71,
basic_delete,postgresql,postgres,mysql,basic,20,easy,True,True,True,0.406,
basic_delete,postgresql,postgres,tsql,basic,20,easy,True,True,True,0.437,
basic_delete,postgresql,postgres,oracle,basic,20,easy,True,True,True,0.361,
basic_delete,postgresql,postgres,snowflake,basic,20,easy,True,True,True,0.394,
create_table_basic,postgresql,postgres,postgres,basic,30,easy,True,True,True,1.635,
create_table_basic,postgresql,postgres,mysql,basic,30,easy,True,True,True,1.393,
create_table_basic,postgresql,postgres,tsql,basic,30,easy,True,True,True,1.257,
create_table_basic,postgresql,postgres,oracle,basic,30,easy,True,True,True,0.854,
create_table_basic,postgresql,postgres,snowflake,basic,30,easy,True,True,False,0.689,
alter_table_add_column,postgresql,postgres,postgres,basic,15,easy,True,True,True,0.587,
alter_table_add_column,postgresql,postgres,mysql,basic,15,easy,True,True,True,0.278,
alter_table_add_column,postgresql,postgres,tsql,basic,15,easy,True,True,True,0.27,
alter_table_add_column,postgresql,postgres,oracle,basic,15,easy,True,True,True,0.258,
alter_table_add_column,postgresql,postgres,snowflake,basic,15,easy,True,True,True,0.283,
subquery_in,postgresql,postgres,postgres,intermediate,35,medium,True,True,True,0.871,
subquery_in,postgresql,postgres,mysql,intermediate,35,medium,True,True,True,1.062,
subquery_in,postgresql,postgres,tsql,intermediate,35,medium,True,True,True,1.4,
subquery_in,postgresql,postgres,oracle,intermediate,35,medium,True,True,True,0.74,
subquery_in,postgresql,postgres,snowflake,intermediate,35,medium,True,True,True,0.878,
cte_basic,postgresql,postgres,postgres,intermediate,50,medium,True,True,True,1.883,
cte_basic,postgresql,postgres,mysql,intermediate,50,medium,True,True,True,1.174,
cte_basic,postgresql,postgres,tsql,intermediate,50,medium,True,True,False,3.63,
cte_basic,postgresql,postgres,oracle,intermediate,50,medium,True,True,True,1.651,
cte_basic,postgresql,postgres,snowflake,intermediate,50,medium,True,True,True,1.609,
window_function_rank,postgresql,postgres,postgres,intermediate,45,medium,True,True,True,1.477,
window_function_rank,postgresql,postgres,mysql,intermediate,45,medium,True,True,False,0.89,
window_function_rank,postgresql,postgres,tsql,intermediate,45,medium,True,True,False,0.837,
window_function_rank,postgresql,postgres,oracle,intermediate,45,medium,True,True,True,0.655,
window_function_rank,postgresql,postgres,snowflake,intermediate,45,medium,True,True,True,0.907,
multiple_joins,postgresql,postgres,postgres,intermediate,60,medium,True,True,True,2.093,
multiple_joins,postgresql,postgres,mysql,intermediate,60,medium,True,True,True,2.212,
multiple_joins,postgresql,postgres,tsql,intermediate,60,medium,True,True,True,1.565,
multiple_joins,postgresql,postgres,oracle,intermediate,60,medium,True,True,True,1.305,
multiple_joins,postgresql,postgres,snowflake,intermediate,60,medium,True,True,True,1.625,
case_statement,postgresql,postgres,postgres,intermediate,35,medium,True,True,True,1.859,
case_statement,postgresql,postgres,mysql,intermediate,35,medium,True,True,True,0.961,
case_statement,postgresql,postgres,tsql,intermediate,35,medium,True,True,True,0.925,
case_statement,postgresql,postgres,oracle,intermediate,35,medium,True,True,True,0.692,
case_statement,postgresql,postgres,snowflake,intermediate,35,medium,True,True,True,0.883,
coalesce_function,postgresql,postgres,postgres,intermediate,25,medium,True,True,True,0.966,
coalesce_function,postgresql,postgres,mysql,intermediate,25,medium,True,True,True,0.524,
coalesce_function,postgresql,postgres,tsql,intermediate,25,medium,True,True,True,0.528,
coalesce_function,postgresql,postgres,oracle,intermediate,25,medium,True,True,True,0.545,
coalesce_function,postgresql,postgres,snowflake,intermediate,25,medium,True,True,True,0.895,
string_aggregation,postgresql,postgres,postgres,intermediate,40,medium,True,True,True,1.224,
string_aggregation,postgresql,postgres,mysql,intermediate,40,medium,True,True,False,0.86,
string_aggregation,postgresql,postgres,tsql,intermediate,40,medium,True,True,False,0.881,
