dataset,n_rows,elapsed_sec,rows_per_sec,f1,precision,recall
D2,10000,0.604,16556,0.34962406015037595,0.2524886877828054,0.5682281059063137
D2,50000,3.004,16647,0.33416567147975246,0.22816901408450704,0.6240875912408759
D2,100000,8.044,12432,0.34758123556907133,0.2415655577299413,0.6194299478121237
D2,200000,16.625,12030,0.3311799820099763,0.22687380961272735,0.6130171543895055
