dataset,score_quantile,threshold,flagged,review_workload_pct,precision,recall,f1,fpr
D1,0.5,0.22286117766206184,25250,50.0,0.0874059405940594,0.8835068054443554,0.15907452789390225,0.48004249822924044
D1,0.5204166666666666,0.226693340064879,24219,47.958415841584156,0.09046616292993105,0.877101681345076,0.16401542089306434,0.458897545935586
D1,0.5408333333333333,0.22997687742055,23188,45.91683168316832,0.09418664826634467,0.8742994395516414,0.17005372576500818,0.4375651014541061
D1,0.56125,0.23313358621263655,22157,43.875247524752474,0.09807284379654285,0.8698959167333867,0.17627256134658284,0.41631598683388193
D1,0.5816666666666667,0.23631947825303637,21126,41.83366336633664,0.10224368077250781,0.8646917534027222,0.182864883169658,0.3951085371442857
D1,0.6020833333333333,0.24017444654243303,20095,39.79207920792079,0.10704155262503111,0.8610888710968775,0.1904129597662993,0.3738177575934336
D1,0.6225,0.24540778388489645,19064,37.75049504950495,0.11220100713386488,0.8562850280224179,0.19840460068639273,0.35258947543852337
D1,0.6429166666666667,0.2507394180979706,18033,35.70891089108911,0.11800587811234958,0.8518815052041633,0.2072962836685987,0.33134036081829926
D1,0.6633333333333333,0.25829098607868367,17002,33.66732673267327,0.1246912127984943,0.8486789431545236,0.21743589743589745,0.31002874880213327
D1,0.68375,0.2672048183071255,15971,31.625742574257426,0.13192661699330036,0.8434747798238591,0.22816611619470464,0.28882129911253696
D1,0.7041666666666666,0.2767307735872948,14940,29.584158415841586,0.14022757697456492,0.8386709367493995,0.24027984860649157,0.2675930169576268
D1,0.7245833333333334,0.2928037225778245,13909,27.54257425742574,0.14925587748939537,0.8310648518815053,0.25306271713293105,0.24651056205991417
D1,0.745,0.3134031231301184,12878,25.5009900990099,0.15996272713154217,0.8246597277822257,0.2679500520291363,0.22536560976625974
D1,0.7654166666666666,0.33286023016781374,11851,23.467326732673268,0.17078727533541474,0.8102481985588471,0.2821102515854763,0.20472063664014
D1,0.7858333333333334,0.3552405555683416,10816,21.41782178217822,0.18444896449704143,0.7986389111289032,0.2996845425867508,0.18376317653431107
D1,0.80625,0.3811612485548263,9785,19.376237623762375,0.20153295861011752,0.789431545236189,0.32109419522917854,0.16276405149785425
