complexity_bucket,n,parse_rate,transpile_rate,ast_equiv_rate,latency_ms_mean
[0-20],175,0.9714285714285714,0.9714285714285714,0.8914285714285715,0.6850114285714285
[20-40],195,1.0,1.0,0.7846153846153846,0.854923076923077
[40-60],115,1.0,1.0,0.782608695652174,1.142086956521739
[60-80],90,1.0,1.0,0.6777777777777778,2.3381
