difficulty,n,parse_rate,transpile_rate,ast_equiv_rate,latency_ms_mean
easy,190,1.0,1.0,0.9210526315789473,0.7815000000000001
hard,190,0.9736842105263158,0.9736842105263158,0.7421052631578947,1.5249315789473685
medium,195,1.0,1.0,0.7384615384615385,0.9750461538461539
