low_tau,high_tau,auto_clean_coverage,auto_clean_precision,auto_clean_recall,manual_review_coverage,analyst_burden,auto_pass_coverage,auto_pass_accuracy,missed_anomalies_in_pass,dataset
0.0038,0.9912,0.01,1.0,1.0,0.2529,0.2529,0.7371,1.0,0,D3
0.004,0.0044,0.1786,0.28,1.0,0.0422,0.0422,0.7793,1.0,0,D3
0.004,0.0049,0.1364,0.3665,1.0,0.0843,0.0843,0.7793,1.0,0,D3
0.004,0.0111,0.0943,0.5302,1.0,0.1264,0.1264,0.7793,1.0,0,D3
0.004,0.9576,0.0522,0.6831,1.0,0.1686,0.1686,0.7793,1.0,0,D3
0.004,0.9912,0.01,1.0,1.0,0.2107,0.2107,0.7793,1.0,0,D3
0.0044,0.0049,0.1364,0.3665,1.0,0.0421,0.0421,0.8214,1.0,0,D3
0.0044,0.0111,0.0943,0.5302,1.0,0.0843,0.0843,0.8214,1.0,0,D3
0.0044,0.9576,0.0522,0.6831,1.0,0.1264,0.1264,0.8214,1.0,0,D3
0.0044,0.9912,0.01,1.0,1.0,0.1686,0.1686,0.8214,1.0,0,D3
0.0049,0.0111,0.0943,0.5302,1.0,0.0421,0.0421,0.8636,1.0,0,D3
0.0049,0.9576,0.0522,0.6831,1.0,0.0843,0.0843,0.8636,1.0,0,D3
0.0049,0.9912,0.01,1.0,1.0,0.1264,0.1264,0.8636,1.0,0,D3
0.0111,0.9576,0.0522,0.6831,1.0,0.0421,0.0421,0.9057,1.0,0,D3
0.0111,0.9912,0.01,1.0,1.0,0.0843,0.0843,0.9057,1.0,0,D3
0.9576,0.9912,0.01,1.0,1.0,0.0422,0.0422,0.9478,0.9848,431,D3
