auc_pr,best_threshold,precision,recall,f1,balanced_acc,fpr_at_best_f1,dataset,detector
0.25673675621383474,0.6,0.37731196054254007,0.6132264529058116,0.467175572519084,0.7803138826345535,0.05259868763670451,D1,rule
0.1724580287551219,0.5223696898203863,0.2175548589341693,0.6953907815631263,0.3314231136580707,0.7827021609096748,0.12998645974377668,D1,stat
0.25147699998369893,0.6117365358825698,0.3643059490084986,0.5154308617234469,0.42688796680497926,0.7343428655039482,0.04674513071555046,D1,iforest
0.10499781164737179,6.716994824801557e-11,0.2281437125748503,0.1527054108216433,0.182953181272509,0.5629270205863242,0.026851369648994896,D1,lof
0.17463118386864887,0.5747642337776783,0.22610843843453388,0.6969939879759519,0.34144904771254664,0.7865034516486363,0.1239870846786793,D1,hybrid
0.27538726843023353,0.7919045603036057,0.36369755440879514,0.6496993987975952,0.4663406214039125,0.7953111096685612,0.05907717946047287,D1,hybrid_lr
0.15297573028406225,0.6,0.25887504561330343,0.4966,0.34033512661480997,0.7112765625,0.074046875,D2,rule
0.18839238485984816,0.5525365614910259,0.23482964191243239,0.5948,0.33672054119844885,0.7469286458333333,0.10094270833333334,D2,stat
0.22715251765932082,0.5567705230668442,0.28648981419297065,0.5119,0.3673747667575714,0.7227494791666667,0.06640104166666666,D2,iforest
0.07637173531550434,1.7821163123040092e-15,0.08175119202427394,0.2829,0.12684676605761686,0.5587,0.1655,D2,lof
0.19375435968216323,0.6,0.24748538011695906,0.6348,0.3561290322580645,0.767134375,0.10053125,D2,hybrid
0.243249155747172,0.7118759877989755,0.2743509400179051,0.6129,0.3790352504638219,0.7642338541666667,0.08443229166666667,D2,hybrid_lr
0.5871327703800866,0.7,0.5330490405117271,1.0,0.6954102920723226,0.9769473684210526,0.04610526315789474,D3,rule
0.33033886807369284,1.0,0.39022369511184757,0.628,0.4813490035769034,0.7881754385964912,0.05164912280701754,D3,stat
0.671934317942564,0.4342295595526845,0.47845726198749133,0.918,0.6290543627227044,0.9326666666666668,0.05266666666666667,D3,iforest
0.11408853804270853,0.0708173614650576,0.1820151679306609,0.224,0.200836820083682,0.5855087719298245,0.052982456140350874,D3,lof
0.35465790035289313,1.0,0.39022369511184757,0.628,0.4813490035769034,0.7881754385964912,0.05164912280701754,D3,hybrid
0.8909351343120705,0.9549398901076114,0.9389243391066545,0.6866666666666666,0.7932229495571813,0.8421578947368421,0.0023508771929824563,D3,hybrid_lr
