auc_pr,best_threshold,precision,recall,f1,balanced_acc,fpr_at_best_f1,model,subsampled,subsample_n,runtime_s,dataset
0.278911524968107,6.944264582027059,0.34356306892067623,0.5288230584467574,0.41652215040201795,0.7381209579971797,0.05258114245239782,ECOD,False,50500,0.42,D1
0.2173983098285344,5.196814277435086,0.2540334408917571,0.6933546837469976,0.37183340489480465,0.7937003825801361,0.10595391858672555,COPOD,False,50500,0.08,D1
0.38581234053495217,-3.0185413782409576,0.4367321867321867,0.5692554043234588,0.4942648592283629,0.7655243314688416,0.038206741385775594,HBOS,False,50500,2.38,D1
0.2913966228948892,0.18555379597467359,0.36333967908621156,0.5380587998389046,0.43376623376623374,0.7443961107808282,0.04926657827724814,KNN,True,50000,1.49,D1
0.06587136255701202,0.10474951035948767,0.13380075956763074,0.1833466773418735,0.15470359736530992,0.5607892088430129,0.061768259655847674,LODA,False,50500,0.2,D1
0.5299306866455943,0.9724807143211365,0.6256463288521199,0.4843875100080064,0.546028880866426,0.734652402560355,0.015082704887296362,AutoEncoder,False,50500,52.39,D1
0.15247940541096605,12.274794190604307,0.15627851277372262,0.5481,0.24321086261980832,0.6969901041666666,0.15411979166666667,ECOD,False,202000,0.57,D2
0.15643418819293267,10.74900367784381,0.15677712645053235,0.5242,0.2413666083433097,0.688678125,0.14684375,COPOD,False,202000,0.55,D2
0.16887523717646077,7.783958936948322,0.30365336585932506,0.5228,0.38417165741999487,0.7301786458333334,0.06244270833333333,HBOS,False,202000,0.2,D2
0.19939184967932544,8912.924921630894,0.3448275862068966,0.16955995155429957,0.2273342354533153,0.5763840411770614,0.016791869200176758,KNN,True,50000,0.72,D2
0.09389942308517964,0.037670657032740106,0.17040070665703044,0.2122,0.1890170578541843,0.5791963541666667,0.053807291666666666,LODA,False,202000,0.89,D2
0.2764553557251678,1.5929158926010132,0.3268808621033726,0.4914,0.3926017656693165,0.7193484375,0.052703125,AutoEncoder,False,202000,206.57,D2
0.5601272496159918,15.217116975574061,0.48807495741056217,0.764,0.5956340956340956,0.8609122807017544,0.04217543859649123,ECOD,False,30000,0.08,D3
0.4380255298665559,13.594853417666524,0.46464646464646464,0.5213333333333333,0.4913603518693057,0.744859649122807,0.031614035087719296,COPOD,False,30000,0.09,D3
0.7978500902483118,0.45408968338382305,0.6552486187845303,0.7906666666666666,0.7166163141993958,0.8843859649122807,0.021894736842105262,HBOS,False,30000,1.38,D3
0.09832589489517077,16950.914429611166,0.16166439290586632,0.158,0.1598111935266352,0.5574385964912281,0.04312280701754386,KNN,False,30000,0.42,D3
0.24355150286999866,0.04765163606181535,0.301700493691717,0.36666666666666664,0.331026181161601,0.661,0.04466666666666667,LODA,False,30000,0.12,D3
0.5027404386785435,2.3522658348083496,0.34307422559906486,0.7826666666666666,0.477041852905323,0.8518947368421053,0.07887719298245614,AutoEncoder,False,30000,30.39,D3
