query,src_folder,src_dialect,tgt_dialect,level,difficulty,committed_transpile_ok,committed_footprint_equiv,recomputed_footprint_equiv,relaxed_equiv,exec_equiv,note
basic_delete,postgresql,postgres,postgres,basic,easy,True,True,True,True,,
basic_delete,postgresql,postgres,mysql,basic,easy,True,True,True,True,,
basic_delete,postgresql,postgres,tsql,basic,easy,True,True,True,True,,
basic_delete,postgresql,postgres,oracle,basic,easy,True,True,True,True,,
basic_delete,postgresql,postgres,snowflake,basic,easy,True,True,True,True,,
create_table_basic,postgresql,postgres,postgres,basic,easy,True,True,True,True,,
create_table_basic,postgresql,postgres,mysql,basic,easy,True,True,True,True,,
create_table_basic,postgresql,postgres,tsql,basic,easy,True,True,True,True,,
create_table_basic,postgresql,postgres,oracle,basic,easy,True,True,True,False,,
create_table_basic,postgresql,postgres,snowflake,basic,easy,True,False,,False,,
alter_table_add_column,postgresql,postgres,postgres,basic,easy,True,True,True,True,,
alter_table_add_column,postgresql,postgres,mysql,basic,easy,True,True,True,True,,
alter_table_add_column,postgresql,postgres,tsql,basic,easy,True,True,True,True,,
alter_table_add_column,postgresql,postgres,oracle,basic,easy,True,True,True,False,,
alter_table_add_column,postgresql,postgres,snowflake,basic,easy,True,True,True,True,,
subquery_in,postgresql,postgres,postgres,intermediate,medium,True,True,True,True,True,
subquery_in,postgresql,postgres,mysql,intermediate,medium,True,True,True,True,True,
subquery_in,postgresql,postgres,tsql,intermediate,medium,True,True,True,True,True,
subquery_in,postgresql,postgres,oracle,intermediate,medium,True,True,True,True,True,
subquery_in,postgresql,postgres,snowflake,intermediate,medium,True,True,True,True,True,
cte_basic,postgresql,postgres,postgres,intermediate,medium,True,True,True,True,True,
cte_basic,postgresql,postgres,mysql,intermediate,medium,True,True,True,True,True,
cte_basic,postgresql,postgres,tsql,intermediate,medium,True,False,False,False,True,
cte_basic,postgresql,postgres,oracle,intermediate,medium,True,True,True,True,True,
cte_basic,postgresql,postgres,snowflake,intermediate,medium,True,True,True,True,True,
window_function_rank,postgresql,postgres,postgres,intermediate,medium,True,True,True,True,,
window_function_rank,postgresql,postgres,mysql,intermediate,medium,True,False,False,False,,
window_function_rank,postgresql,postgres,tsql,intermediate,medium,True,False,False,False,,
window_function_rank,postgresql,postgres,oracle,intermediate,medium,True,True,True,True,,
window_function_rank,postgresql,postgres,snowflake,intermediate,medium,True,True,True,True,,
multiple_joins,postgresql,postgres,postgres,intermediate,medium,True,True,True,True,,
multiple_joins,postgresql,postgres,mysql,intermediate,medium,True,True,True,True,,
multiple_joins,postgresql,postgres,tsql,intermediate,medium,True,True,True,True,,
multiple_joins,postgresql,postgres,oracle,intermediate,medium,True,True,True,True,,
multiple_joins,postgresql,postgres,snowflake,intermediate,medium,True,True,True,True,,
case_statement,postgresql,postgres,postgres,intermediate,medium,True,True,True,True,True,
case_statement,postgresql,postgres,mysql,intermediate,medium,True,True,True,True,True,
case_statement,postgresql,postgres,tsql,intermediate,medium,True,True,True,True,True,
case_statement,postgresql,postgres,oracle,intermediate,medium,True,True,True,True,True,
case_statement,postgresql,postgres,snowflake,intermediate,medium,True,True,True,True,True,
coalesce_function,postgresql,postgres,postgres,intermediate,medium,True,True,True,True,True,
coalesce_function,postgresql,postgres,mysql,intermediate,medium,True,True,True,True,True,
coalesce_function,postgresql,postgres,tsql,intermediate,medium,True,True,True,True,True,
coalesce_function,postgresql,postgres,oracle,intermediate,medium,True,True,True,True,True,
coalesce_function,postgresql,postgres,snowflake,intermediate,medium,True,True,True,True,True,
string_aggregation,postgresql,postgres,postgres,intermediate,medium,True,True,True,True,,
string_aggregation,postgresql,postgres,mysql,intermediate,medium,True,False,False,False,,
string_aggregation,postgresql,postgres,tsql,intermediate,medium,True,False,False,False,,
string_aggregation,postgresql,postgres,oracle,intermediate,medium,True,True,True,True,,
string_aggregation,postgresql,postgres,snowflake,intermediate,medium,True,True,True,True,,
jsonb_operations,postgresql,postgres,postgres,intermediate,medium,True,True,True,True,,
jsonb_operations,postgresql,postgres,mysql,intermediate,medium,True,False,,False,,
jsonb_operations,postgresql,postgres,tsql,intermediate,medium,True,False,,False,,
jsonb_operations,postgresql,postgres,oracle,intermediate,medium,True,False,,False,,
jsonb_operations,postgresql,postgres,snowflake,intermediate,medium,True,False,,False,,
array_operations,postgresql,postgres,postgres,intermediate,medium,True,True,True,True,,
array_operations,postgresql,postgres,mysql,intermediate,medium,True,True,True,True,,
array_operations,postgresql,postgres,tsql,intermediate,medium,True,True,True,True,,
array_operations,postgresql,postgres,oracle,intermediate,medium,True,True,True,True,,
array_operations,postgresql,postgres,snowflake,intermediate,medium,True,True,True,True,,
date_truncation,postgresql,postgres,postgres,intermediate,medium,True,True,True,True,True,
date_truncation,postgresql,postgres,mysql,intermediate,medium,True,False,False,False,True,
date_truncation,postgresql,postgres,tsql,intermediate,medium,True,True,True,True,True,
date_truncation,postgresql,postgres,oracle,intermediate,medium,True,True,True,True,True,
