dataset,family,n_injected,recovered,recall
D1,A1_sign_flip,500,500,1.0
D1,A2_magnitude_outlier,500,72,0.144
D1,A3_tag_mismatch,496,10,0.020161290322580645
D1,A4_period_violation,500,500,1.0
D1,A5_duplicate_posting,500,500,1.0
D2,B1_ot_regular_inconsistency,2000,1830,0.915
D2,B2_salary_basis_mismatch,2000,1930,0.965
D2,B3_near_duplicate_name,2000,180,0.09
D2,B4_agency_title_violation,2000,1022,0.511
D2,B5_magnitude_outlier,2000,1148,0.574
D3,C1_education_out_of_domain,300,300,1.0
D3,C2_limitbal_inconsistency,300,300,1.0
D3,C3_bill_sign_violation,300,87,0.29
D3,C4_pay_temporal_violation,300,33,0.11
D3,C5_age_range_violation,300,300,1.0
