value
50500
202000
30000
0.511
+0.043
0.359
0.717
0.94
0.10
200000
16.7
109
575
0.99
0.800
0.921
0.742
13998
282500
50000
200000
50500
2498
202000
10000
30000
1500
2000
2000
2000
2000
2000
109
575
0.043
0.017
0.103
0.007
0.625
0.520
0.028
0.48
17.32
0.34
0.35
10000
20659
50000
18279
100000
13785
200000
11545
109
575
0.991
0.800
575
109
575
0.92
0.65
0.462
0.538
0.571
0.921
0.742
0.738
1.000
0.913
0.108
0.000
0.991
0.105
0.99
0.9913
96\%
0.800
575
0.800
