src_folder,name,level,cte,window,pivot,array,lateral,json,ddl,dml_nonsel,subquery,union,groupby,having,case,recursive,dialect_specific
mysql,case_when,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
mysql,window_function_row_number,advanced,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
mysql,recursive_cte,advanced,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
mysql,complex_join_aggregation,advanced,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
mysql,fulltext_search,dialect_specific,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
mysql,on_duplicate_key,dialect_specific,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
mysql,insert_ignore,dialect_specific,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
sqlserver,top_select,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
sqlserver,identity_column,basic,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
sqlserver,top_with_offset,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
sqlserver,try_convert,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
sqlserver,string_split,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
sqlserver,format_function,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
sqlserver,iif_function,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
sqlserver,cte_with_ranking,advanced,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
sqlserver,pivot_table,advanced,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
sqlserver,merge_statement,advanced,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
sqlserver,xml_operations,dialect_specific,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
sqlserver,json_operations,dialect_specific,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
sqlserver,temporal_table,dialect_specific,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
oracle,rownum_limit,basic,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
oracle,sequence_nextval,basic,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
oracle,sysdate,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
oracle,dual_table,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
oracle,decode_function,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
oracle,nvl_function,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
oracle,to_char_date,intermediate,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
oracle,row_number_pagination,intermediate,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
oracle,analytical_functions,advanced,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
oracle,pivot_unpivot,advanced,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
oracle,connect_by,dialect_specific,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
oracle,listagg,dialect_specific,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
oracle,sys_context,dialect_specific,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
snowflake,simple_select,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
snowflake,limit_offset,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
snowflake,create_table,basic,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
snowflake,insert_values,basic,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
snowflake,flatten_array,intermediate,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
snowflake,try_cast,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
snowflake,qualify_clause,intermediate,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
snowflake,iff_function,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
snowflake,stream_processing,advanced,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
snowflake,cte_with_window,advanced,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False
snowflake,variant_json,dialect_specific,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
snowflake,time_travel,dialect_specific,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
snowflake,clone_table,dialect_specific,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
snowflake,array_construct,dialect_specific,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
