query,src_folder,src_dialect,tgt_dialect,level_x,complexity,difficulty,parse_ok,transpile_ok,ast_equiv,latency_ms,error,name,level_y,cte,window,pivot,array,lateral,json,ddl,dml_nonsel,subquery,union,groupby,having,case,recursive,dialect_specific
count_aggregate,postgresql,postgres,snowflake,basic,10,easy,True,True,True,0.457,,count_aggregate,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
sum_aggregate,postgresql,postgres,postgres,basic,20,easy,True,True,True,0.615,,sum_aggregate,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
sum_aggregate,postgresql,postgres,mysql,basic,20,easy,True,True,True,0.367,,sum_aggregate,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
sum_aggregate,postgresql,postgres,tsql,basic,20,easy,True,True,True,0.391,,sum_aggregate,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
sum_aggregate,postgresql,postgres,oracle,basic,20,easy,True,True,True,0.367,,sum_aggregate,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
sum_aggregate,postgresql,postgres,snowflake,basic,20,easy,True,True,True,0.475,,sum_aggregate,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
avg_aggregate,postgresql,postgres,postgres,basic,20,easy,True,True,True,0.542,,avg_aggregate,basic,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
avg_aggregate,postgresql,postgres,mysql,basic,20,easy,True,True,True,0.341,,avg_aggregate,basic,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
avg_aggregate,postgresql,postgres,tsql,basic,20,easy,True,True,True,0.358,,avg_aggregate,basic,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
avg_aggregate,postgresql,postgres,oracle,basic,20,easy,True,True,True,0.333,,avg_aggregate,basic,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
avg_aggregate,postgresql,postgres,snowflake,basic,20,easy,True,True,True,0.438,,avg_aggregate,basic,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
in_clause,postgresql,postgres,postgres,basic,15,easy,True,True,True,0.593,,in_clause,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
in_clause,postgresql,postgres,mysql,basic,15,easy,True,True,True,0.401,,in_clause,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
in_clause,postgresql,postgres,tsql,basic,15,easy,True,True,True,0.37,,in_clause,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
in_clause,postgresql,postgres,oracle,basic,15,easy,True,True,True,0.338,,in_clause,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
in_clause,postgresql,postgres,snowflake,basic,15,easy,True,True,True,0.459,,in_clause,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
like_pattern,postgresql,postgres,postgres,basic,15,easy,True,True,True,0.497,,like_pattern,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
like_pattern,postgresql,postgres,mysql,basic,15,easy,True,True,True,0.314,,like_pattern,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
like_pattern,postgresql,postgres,tsql,basic,15,easy,True,True,True,0.308,,like_pattern,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
like_pattern,postgresql,postgres,oracle,basic,15,easy,True,True,True,0.269,,like_pattern,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
like_pattern,postgresql,postgres,snowflake,basic,15,easy,True,True,True,0.372,,like_pattern,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
between_clause,postgresql,postgres,postgres,basic,15,easy,True,True,True,0.477,,between_clause,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
between_clause,postgresql,postgres,mysql,basic,15,easy,True,True,True,0.305,,between_clause,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
between_clause,postgresql,postgres,tsql,basic,15,easy,True,True,True,0.323,,between_clause,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
between_clause,postgresql,postgres,oracle,basic,15,easy,True,True,True,0.292,,between_clause,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
between_clause,postgresql,postgres,snowflake,basic,15,easy,True,True,True,0.396,,between_clause,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_null_check,postgresql,postgres,postgres,basic,10,easy,True,True,True,0.432,,is_null_check,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_null_check,postgresql,postgres,mysql,basic,10,easy,True,True,True,0.272,,is_null_check,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_null_check,postgresql,postgres,tsql,basic,10,easy,True,True,True,0.291,,is_null_check,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_null_check,postgresql,postgres,oracle,basic,10,easy,True,True,True,0.274,,is_null_check,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_null_check,postgresql,postgres,snowflake,basic,10,easy,True,True,True,0.353,,is_null_check,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
distinct_select,postgresql,postgres,postgres,basic,10,easy,True,True,True,0.349,,distinct_select,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
distinct_select,postgresql,postgres,mysql,basic,10,easy,True,True,True,0.22,,distinct_select,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
distinct_select,postgresql,postgres,tsql,basic,10,easy,True,True,True,0.228,,distinct_select,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
distinct_select,postgresql,postgres,oracle,basic,10,easy,True,True,True,0.205,,distinct_select,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
distinct_select,postgresql,postgres,snowflake,basic,10,easy,True,True,True,0.292,,distinct_select,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
max_min_aggregate,postgresql,postgres,postgres,basic,15,easy,True,True,True,0.65,,max_min_aggregate,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
max_min_aggregate,postgresql,postgres,mysql,basic,15,easy,True,True,True,0.423,,max_min_aggregate,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
